,file,date,longitude,latitude,ocean,profiler_code,institution_code,date_update,wmo,institution,profiler
55,coriolis/6900583/profiles/D6900583_056.nc,2012-11-15 17:40:02,-22.612,53.531,A,846,IF,2017-08-18 15:52:53,6900583,"Ifremer, France","Webb Research, Seabird sensor"
56,coriolis/6900583/profiles/D6900583_057.nc,2012-11-30 17:17:15,-22.302,54.014,A,846,IF,2017-08-18 15:52:54,6900583,"Ifremer, France","Webb Research, Seabird sensor"
57,coriolis/6900583/profiles/D6900583_058.nc,2012-12-15 17:32:37,-22.236,53.928,A,846,IF,2017-08-18 15:52:55,6900583,"Ifremer, France","Webb Research, Seabird sensor"
58,coriolis/6900583/profiles/D6900583_059.nc,2012-12-30 17:35:29,-22.183,53.862,A,846,IF,2017-08-18 15:52:57,6900583,"Ifremer, France","Webb Research, Seabird sensor"
59,coriolis/6900583/profiles/D6900583_060.nc,2013-01-14 16:49:59,-21.933,53.715,A,846,IF,2017-08-18 15:52:58,6900583,"Ifremer, France","Webb Research, Seabird sensor"
60,coriolis/6900583/profiles/D6900583_061.nc,2013-01-29 17:28:47,-21.369,53.513,A,846,IF,2017-08-18 15:53:00,6900583,"Ifremer, France","Webb Research, Seabird sensor"
61,coriolis/6900583/profiles/D6900583_062.nc,2013-02-13 16:50:36,-20.915,52.452,A,846,IF,2017-08-18 15:53:02,6900583,"Ifremer, France","Webb Research, Seabird sensor"
62,coriolis/6900583/profiles/D6900583_063.nc,2013-02-28 17:16:56,-19.892,52.301,A,846,IF,2017-08-18 15:53:03,6900583,"Ifremer, France","Webb Research, Seabird sensor"
63,coriolis/6900583/profiles/D6900583_064.nc,2013-03-15 17:39:38,-17.948,52.809,A,846,IF,2017-08-18 15:53:05,6900583,"Ifremer, France","Webb Research, Seabird sensor"
64,coriolis/6900583/profiles/D6900583_065.nc,2013-03-30 17:43:58,-17.573,52.855,A,846,IF,2017-08-18 15:53:07,6900583,"Ifremer, France","Webb Research, Seabird sensor"
65,coriolis/6900583/profiles/D6900583_066.nc,2013-04-14 16:56:59,-16.867,52.915,A,846,IF,2017-08-18 15:53:08,6900583,"Ifremer, France","Webb Research, Seabird sensor"
